N,D,bonus,condition,seed,update,eat0,eat1,selectivity,prevalence,zaps,ret
12,100,8.75,none,0,98,96.84375,104.7890625,0.0,0.0,18.71875,-10.00341796875
12,100,8.75,none,0,99,95.859375,104.41015625,0.0,0.0,18.73828125,-10.109114646911621
12,100,8.75,none,0,100,96.21875,105.29296875,0.0,0.0,18.5703125,-9.992969512939453
12,100,8.75,none,0,101,97.21484375,105.81640625,0.0,0.0,18.60546875,-9.947135925292969
12,100,8.75,none,0,102,97.203125,105.16796875,0.0,0.0,18.0859375,-9.980306625366211
12,100,8.75,none,0,103,96.25390625,106.2265625,0.0,0.0,18.0546875,-9.709766387939453
12,100,8.75,none,0,104,96.9375,105.671875,0.0,0.0,18.234375,-9.843977928161621
12,100,8.75,none,0,105,96.98828125,105.859375,0.0,0.0,17.90234375,-9.889388084411621
12,100,8.75,none,0,106,96.70703125,106.9453125,0.0,0.0,17.78125,-9.684700012207031
12,100,8.75,none,0,107,95.88671875,107.10546875,0.0,0.0,17.3515625,-9.372852325439453
12,100,8.75,none,0,108,97.17578125,106.62109375,0.0,0.0,17.26171875,-9.651530265808105
12,100,8.75,none,0,109,97.37890625,106.88671875,0.0,0.0,17.171875,-9.740853309631348
12,100,8.75,none,0,110,97.5,107.0234375,0.0,0.0,17.32421875,-9.520931243896484
12,100,8.75,none,0,111,97.37890625,107.13671875,0.0,0.0,17.39453125,-9.726009368896484
12,100,8.75,none,0,112,97.65234375,107.3359375,0.0,0.0,16.81640625,-9.57177734375
12,100,8.75,none,0,113,97.734375,107.15234375,0.0,0.0,16.69140625,-9.416894912719727
12,100,8.75,none,0,114,98.27734375,107.78125,0.0,0.0,16.54296875,-9.371028900146484
12,100,8.75,none,0,115,96.69140625,107.58203125,0.0,0.0,17.17578125,-9.314095497131348
12,100,8.75,none,0,116,97.4765625,108.4765625,0.0,0.0,16.72265625,-9.305046081542969
12,100,8.75,none,0,117,98.578125,106.890625,0.0,0.0,16.45703125,-9.622819900512695
12,100,8.75,none,0,118,98.0859375,107.734375,0.0,0.0,16.64453125,-9.418033599853516
12,100,8.75,none,0,119,98.046875,108.3671875,0.0,0.0,16.69140625,-9.493978500366211
12,100,8.75,none,0,120,98.5859375,107.69921875,0.0,0.0,15.9296875,-9.347819328308105
12,100,8.75,none,0,121,98.59765625,107.7109375,0.0,0.0,16.53125,-9.404589653015137
12,100,8.75,none,0,122,98.453125,108.1484375,0.0,0.0,16.19140625,-9.112663269042969
12,100,8.75,none,0,123,97.5703125,108.4921875,0.0,0.0,15.60546875,-8.994434356689453
12,100,8.75,none,0,124,97.921875,107.3515625,0.0,0.0,15.87890625,-9.010124206542969
12,100,8.75,none,0,125,98.79296875,108.87890625,0.0,0.0,16.11328125,-9.324153900146484
12,100,8.75,none,0,126,98.19921875,109.734375,0.0,0.0,15.51171875,-8.916211128234863
12,100,8.75,none,0,127,98.7265625,108.65234375,0.0,0.0,15.8671875,-9.05429744720459
12,100,8.75,none,0,128,98.19921875,110.0,0.0,0.0,15.43359375,-8.983951568603516
12,100,8.75,none,0,129,99.32421875,108.95703125,0.0,0.0,15.46484375,-9.125911712646484
12,100,8.75,none,0,130,97.87109375,109.5859375,0.0,0.0,15.3046875,-8.775390625
12,100,8.75,none,0,131,98.98828125,109.1875,0.0,0.0,14.91015625,-8.654296875
12,100,8.75,none,0,132,98.6484375,110.1953125,0.0,0.0,14.94921875,-8.819662094116211
12,100,8.75,none,0,133,98.03125,109.38671875,0.0,0.0,14.9921875,-8.65781307220459
12,100,8.75,none,0,134,98.4296875,109.4140625,0.0,0.0,14.8984375,-8.775065422058105
12,100,8.75,none,0,135,99.3359375,109.52734375,0.0,0.0,14.8671875,-8.957585334777832
