N,D,bonus,condition,seed,update,eat0,eat1,selectivity,zaps,ret
12,100,0.5,none,0,260,94.35546875,116.52734375,0.0,16.2265625,-6.912044525146484
12,100,0.5,none,0,261,94.9765625,116.328125,0.0,16.24609375,-6.97216796875
12,100,0.5,none,0,262,94.921875,116.453125,0.0,16.1875,-7.15087890625
12,100,0.5,none,0,263,95.46484375,116.5546875,0.0,15.94921875,-6.965104579925537
12,100,0.5,none,0,264,94.76171875,115.55859375,0.0,16.22265625,-6.843554496765137
12,100,0.5,none,0,265,94.88671875,115.69921875,0.0,16.22265625,-7.177279472351074
12,100,0.5,none,0,266,94.9921875,115.96484375,0.0,15.8671875,-6.915429592132568
12,100,0.5,none,0,267,93.796875,115.4296875,0.0,15.86328125,-6.631314754486084
12,100,0.5,none,0,268,94.94921875,116.53515625,0.0,16.1484375,-6.957487106323242
12,100,0.5,none,0,269,95.51171875,116.37890625,0.0,16.29296875,-7.142024993896484
12,100,0.5,none,0,270,95.35546875,116.0546875,0.0,15.81640625,-7.105273246765137
12,100,0.5,none,0,271,94.29296875,115.765625,0.0,16.22265625,-6.921810150146484
